시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
용인시,세븐일레븐용인양지리조트점,20181002,영업,,N,,,편의점,"경기도 용인시 처인구 양지면 남평로 114, 1층",경기도 용인시 처인구 양지면 남곡리 99-8번지 1층,17161,37.2262728,127.2953373
용인시,세븐일레븐용인휴양림점,20160831,영업,,N,,,편의점,"경기도 용인시 처인구 모현읍 초부로 97, B동 (1층일부)",경기도 용인시 처인구 모현읍 초부리 146-4번지 1층일부,17037,37.3140968,127.2515352
용인시,이마트24 수지구청역점,20181026,영업,,N,,,편의점,"경기도 용인시 수지구 풍덕천로 107, B03호 (풍덕천동)",경기도 용인시 수지구 풍덕천동 1075-1번지 B03호,16836,37.3223151,127.0938609
용인시,GS25기흥써니,20160226,영업,,N,,,편의점,"경기도 용인시 기흥구 고매로 16 (고매동, 기흥써니벨리상가동 102,103호)","경기도 용인시 기흥구 고매동 883번지 기흥써니벨리상가동 102,103호",17086,37.2309093,127.1111383
용인시,GS25천리타운점,20171120,영업,,N,,,편의점,경기도 용인시 처인구 이동읍 백옥대로 640 (1층 일부),경기도 용인시 처인구 이동읍 천리 237-5번지 (1층 일부),17128,37.1938041,127.2072147
용인시,지에스25용인한숲점,20180828,영업,,N,,,편의점,"경기도 용인시 처인구 남사면 한숲로 60, 1층 105호",경기도 용인시 처인구 남사면 아곡리 698번지 1층 105호 일부,17117,37.1532681,127.1716575
용인시,GS25백암원대점,20170808,영업,,N,,,편의점,경기도 용인시 처인구 백암면 백암로 73 (1층 일부),경기도 용인시 처인구 백암면 박곡리 932-11번지 1층 일부,17180,37.1553988,127.3836135
용인시,GS25동백동문점,20101102,영업,,N,,,편의점,"경기도 용인시 기흥구 동백죽전대로 455-12 (동백동, 긋모닝힐@동문상가 101호)",경기도 용인시 기흥구 동백동 689번지 긋모닝힐@동문상가 101호,16993,37.2803509,127.1509113
용인시,씨유 기흥대로점,20101015,영업,,N,,,편의점,"경기도 용인시 기흥구 동탄기흥로 697, 101호 (고매동)",경기도 용인시 기흥구 고매동 696-1번지 101호,17102,37.2222439,127.0976616
용인시,GS25에버랜드점,20150224,영업,,N,,,편의점,경기도 용인시 처인구 포곡읍 성산로 679 (1층 일부),경기도 용인시 처인구 포곡읍 전대리 346-9번지 1층 일부,17023,37.2882395,127.2133225
용인시,GS25기흥IC본점,20161201,영업,,N,,,편의점,"경기도 용인시 기흥구 기흥단지로 6 (고매동, 1층)",경기도 용인시 기흥구 고매동 485-1번지 1층,17086,37.2218877,127.1035201
용인시,바이더웨이포곡삼계점,20090814,영업,,N,,,편의점,경기도 용인시 처인구 포곡읍 포곡로 321,경기도 용인시 처인구 포곡읍 삼계리 479-21번지,17028,37.2829048,127.2330072
용인시,지에스25용인유림점,20160310,영업,,N,,,편의점,"경기도 용인시 처인구 고진로 41 (고림동, 1층일부)",경기도 용인시 처인구 고림동 794-1번지 1층일부,17151,37.2379929,127.2162368
용인시,GS25역북빌리지,20160919,영업,,N,,,편의점,"경기도 용인시 처인구 명지로60번길 23-12 (역북동, 1층일부)",경기도 용인시 처인구 역북동 768-3번지 1층일부,17056,37.2294998,127.1872422
용인시,이마트24용인수여공원점,20160610,영업,,N,,,편의점,"경기도 용인시 처인구 금령로27번길 17, 1층 102호 (김량장동)",경기도 용인시 처인구 김량장동 314-6번지 1층 102호,17050,37.2358794,127.1983466
용인시,세븐일레븐용인매산리점,20160804,영업,,N,,,편의점,경기도 용인시 처인구 모현읍 곡현로 661-1 (1층일부),경기도 용인시 처인구 모현읍 매산리 196-1번지 1층일부 ,17031,37.3427576101,127.2246243218
용인시,세븐일레븐용인타운점,20160804,영업,,N,,,편의점,"경기도 용인시 처인구 백옥대로1414번길 24 (유방동, 1층일부)",경기도 용인시 처인구 유방동 286-5번지 1층일부 ,17041,37.2608532182,127.2156249452
용인시,씨유용인둔전제일,20160211,영업,,N,,,편의점,경기도 용인시 처인구 포곡읍 포곡로 136 (1층일부),경기도 용인시 처인구 포곡읍 둔전리 190-1번지,17027,37.2705767,127.2197899
용인시,세븐일레븐(용인수지점),20030122,영업,,N,,,편의점,경기도 용인시 수지구 풍덕천로 135 (풍덕천동),경기도 용인시 수지구 풍덕천동 713-6번지 ,16837,37.3238446760,127.0966382973
용인시,씨유수지동천점,20171101,영업,,N,,,편의점,"경기도 용인시 수지구 동천로 12, 107호 (동천동, 하나프라자)",경기도 용인시 수지구 동천동 180-5번지 하나프라자 107호,16825,37.3415909,127.1012984
용인시,GS25역북골드점,20171110,영업,,N,,,편의점,"경기도 용인시 처인구 명지로40번길 35-29, 1층 106호 (역북동, 골드클래스)","경기도 용인시 처인구 역북동 563-18번지 골드클래스 1층, 106호",17056,37.2294687,127.1840757
용인시,지에스25 기흥센트럴점,20180816,영업,,N,,,편의점,"경기도 용인시 기흥구 기흥역로58번길 10, 근린생활시설동 1층 1-110호 (구갈동, 기흥역센트럴푸르지오)",경기도 용인시 기흥구 구갈동 234-2번지 기흥역센트럴푸르지오 근린생활시설 1층 1-110호,17066,37.2722949,127.1193829
용인시,GS편의점,20090109,영업,,N,,,편의점,경기도 용인시 처인구 포곡읍 포곡로 275 (GS25편의점내),경기도 용인시 처인구 포곡읍 삼계리 562-1번지 GS25편의점내,17028,37.2794028,127.2314518
용인시,GS25 용인청덕점,20161024,영업,,N,,,편의점,"경기도 용인시 기흥구 구성로 395 (청덕동, 상가동 101호)",경기도 용인시 기흥구 청덕동 565번지 상가동 101호,16894,37.2927119,127.1517137
용인시,세븐일레븐 구갈드림점,20160404,영업,,N,,,편의점,"경기도 용인시 기흥구 용구대로2152번길 34 (구갈동, 드림프라자 104,105호)","경기도 용인시 기흥구 구갈동 390번지 드림프라자 104,105호 ",16971,37.2794040634,127.1097982883
용인시,GS25역북센트럴점,20180219,영업,,N,,,편의점,"경기도 용인시 처인구 명지로16번길 25, 상가1동 1층 104호 (역북동, 우미 린 센트럴파크)","경기도 용인시 처인구 역북동 736번지 우미 린 센트럴파크, 상가1동 104호",17055,37.2339986,127.1855741
